Height,Weight,Species
11.52,242.0,0.0
12.48,290.0,0.0
12.3778,340.0,0.0
12.73,363.0,0.0
12.444,430.0,0.0
13.6024,450.0,0.0
14.1795,500.0,0.0
12.67,390.0,0.0
14.0049,450.0,0.0
14.2266,500.0,0.0
14.2628,475.0,0.0
14.3714,500.0,0.0
13.7592,500.0,0.0
13.9129,340.0,0.0
14.9544,600.0,0.0
15.438,600.0,0.0
14.8604,700.0,0.0
14.938,700.0,0.0
15.633,610.0,0.0
14.4738,650.0,0.0
15.1285,575.0,0.0
15.9936,685.0,0.0
15.5227,620.0,0.0
15.4686,680.0,0.0
16.2405,700.0,0.0
16.36,725.0,0.0
16.3618,720.0,0.0
16.517,714.0,0.0
16.8896,850.0,0.0
18.957,1000.0,0.0
18.0369,920.0,0.0
18.084,955.0,0.0
18.7542,925.0,0.0
18.6354,975.0,0.0
17.6235,950.0,0.0
6.8475,55.0,0.0
6.5772,60.0,0.0
7.4052,90.0,0.0
8.3922,120.0,0.0
8.8928,150.0,0.0
8.5376,140.0,0.0
9.396,170.0,0.0
9.7364,145.0,0.0
10.3458,200.0,0.0
11.088,273.0,0.0
11.368,300.0,0.0
2.112,5.9,1.0
3.528,32.0,1.0
3.824,40.0,1.0
4.5924,51.5,1.0
4.588,70.0,1.0
5.2224,100.0,1.0
5.1992,78.0,1.0
5.6358,80.0,1.0
5.1376,85.0,1.0
5.082,85.0,1.0
5.6925,110.0,1.0
5.9175,115.0,1.0
5.6925,125.0,1.0
6.384,130.0,1.0
6.11,120.0,1.0
5.64,120.0,1.0
6.11,130.0,1.0
5.875,135.0,1.0
5.5225,110.0,1.0
5.856,130.0,1.0
6.792,150.0,1.0
5.9532,145.0,1.0
5.2185,150.0,1.0
6.275,170.0,1.0
7.293,225.0,1.0
6.375,145.0,1.0
6.7334,188.0,1.0
6.4395,180.0,1.0
6.561,197.0,1.0
7.168,218.0,1.0
8.323,300.0,1.0
7.1672,260.0,1.0
7.0516,265.0,1.0
7.2828,250.0,1.0
7.8204,250.0,1.0
7.5852,300.0,1.0
7.6156,320.0,1.0
10.03,514.0,1.0
10.2565,556.0,1.0
11.4884,840.0,1.0
10.881,685.0,1.0
10.6091,700.0,1.0
10.835,700.0,1.0
10.5717,690.0,1.0
11.1366,900.0,1.0
11.1366,650.0,1.0
12.4313,820.0,1.0
11.9286,850.0,1.0
11.73,900.0,1.0
12.3808,1015.0,1.0
11.135,820.0,1.0
12.8002,1100.0,1.0
11.9328,1000.0,1.0
12.5125,1100.0,1.0
12.604,1000.0,1.0
12.4888,1000.0,1.0
5.568,200.0,1.0
5.7078,300.0,1.0
5.9364,300.0,1.0
6.2884,300.0,1.0
7.29,430.0,1.0
6.396,345.0,1.0
7.28,456.0,1.0
6.825,510.0,1.0
7.786,540.0,1.0
6.96,500.0,1.0
7.792,567.0,1.0
7.68,770.0,1.0
8.9262,950.0,1.0
10.6863,1250.0,1.0
9.6,1600.0,1.0
9.6,1550.0,1.0
10.812,1650.0,1.0
